,Date,Dow Jones
0,2019-12-09,27909.5996
1,2019-12-06,28015.0605
2,2019-12-05,27677.7891
3,2019-12-04,27649.7793
4,2019-12-03,27502.8105
5,2019-12-02,27783.0391
6,2019-11-29,28051.4102
7,2019-11-27,28164.0000
8,2019-11-26,28121.6797
9,2019-11-25,28066.4707
10,2019-11-22,27875.6191
11,2019-11-21,27766.2891
12,2019-11-20,27821.0898
13,2019-11-19,27934.0195
14,2019-11-18,28036.2207
15,2019-11-15,28004.8906
16,2019-11-14,27781.9609
17,2019-11-13,27783.5898
18,2019-11-12,27691.4902
19,2019-11-11,27691.4902
20,2019-11-08,27681.2402
21,2019-11-07,27674.8008
22,2019-11-06,27492.5605
23,2019-11-05,27492.6309
24,2019-11-04,27462.1094
25,2019-11-01,27347.3594
26,2019-10-31,27046.2305
27,2019-10-30,27186.6895
28,2019-10-29,27071.4609
29,2019-10-28,27090.7207
30,2019-10-25,26958.0605
31,2019-10-24,26805.5293
32,2019-10-23,26833.9492
33,2019-10-22,26788.0996
34,2019-10-21,26827.6406
35,2019-10-18,26770.1992
36,2019-10-17,27025.8809
37,2019-10-16,27001.9805
38,2019-10-15,27024.8008
39,2019-10-14,26787.3594
40,2019-10-11,26816.5898
41,2019-10-10,26496.6699
42,2019-10-09,26346.0098
43,2019-10-08,26164.0391
44,2019-10-07,26478.0195
45,2019-10-04,26573.7207
46,2019-10-03,26201.0391
47,2019-10-02,26078.6191
48,2019-10-01,26573.0391
49,2019-09-30,26916.8301
50,2019-09-27,26820.2500
51,2019-09-26,26891.1191
52,2019-09-25,26970.7109
53,2019-09-24,26807.7695
54,2019-09-23,26949.9902
55,2019-09-20,26935.0703
56,2019-09-19,27094.7891
57,2019-09-18,27147.0801
58,2019-09-17,27110.8008
59,2019-09-16,27076.8203
60,2019-09-13,27219.5195
61,2019-09-12,27182.4492
62,2019-09-11,27137.0391
63,2019-09-10,26909.4297
64,2019-09-09,26835.5098
65,2019-09-06,26797.4609
66,2019-09-05,26728.1504
67,2019-09-04,26355.4707
68,2019-09-03,26118.0195
69,2019-08-30,26403.2793
70,2019-08-29,26362.2500
71,2019-08-28,26036.0996
72,2019-08-27,25777.9004
73,2019-08-26,25898.8301
74,2019-08-23,25628.9004
75,2019-08-22,26252.2402
76,2019-08-21,26202.7305
77,2019-08-20,25962.4395
78,2019-08-19,26135.7891
79,2019-08-16,25886.0098
80,2019-08-15,25579.3906
81,2019-08-14,25479.4199
82,2019-08-13,26279.9102
83,2019-08-12,25896.4395
84,2019-08-09,26287.4395
85,2019-08-08,26378.1895
86,2019-08-07,26007.0703
87,2019-08-06,26029.5195
88,2019-08-05,25717.7402
89,2019-08-02,26485.0098
90,2019-08-01,26583.4199
91,2019-07-31,26864.2695
92,2019-07-30,27198.0195
93,2019-07-29,27221.3496
94,2019-07-26,27192.4492
95,2019-07-25,27140.9805
96,2019-07-24,27269.9707
97,2019-07-23,27349.1895
98,2019-07-22,27171.9004
99,2019-07-19,27154.1992
100,2019-07-18,27222.9707
101,2019-07-17,27219.8496
102,2019-07-16,27335.6309
103,2019-07-15,27359.1602
104,2019-07-12,27332.0293
105,2019-07-11,27088.0801
106,2019-07-10,26860.1992
107,2019-07-09,26783.4902
108,2019-07-08,26806.1406
109,2019-07-05,26922.1191
110,2019-07-03,26966.0000
111,2019-07-02,26786.6797
112,2019-07-01,26717.4297
113,2019-06-28,26599.9609
114,2019-06-27,26526.5801
115,2019-06-26,26536.8203
116,2019-06-25,26548.2207
117,2019-06-24,26727.5391
118,2019-06-21,26719.1309
119,2019-06-20,26753.1699
120,2019-06-19,26504.0000
121,2019-06-18,26465.5391
122,2019-06-17,26112.5293
123,2019-06-14,26089.6094
124,2019-06-13,26106.7695
125,2019-06-12,26004.8301
126,2019-06-11,26048.5098
127,2019-06-10,26062.6797
128,2019-06-07,25983.9395
129,2019-06-06,25720.6602
130,2019-06-05,25539.5703
131,2019-06-04,25332.1797
132,2019-06-03,24819.7793
133,2019-05-31,24815.0391
134,2019-05-30,25169.8809
135,2019-05-29,25126.4102
136,2019-05-28,25347.7695
137,2019-05-24,25585.6895
138,2019-05-23,25490.4707
139,2019-05-22,25776.6094
140,2019-05-21,25877.3301
141,2019-05-20,25679.9004
142,2019-05-17,25764.0000
143,2019-05-16,25862.6797
144,2019-05-15,25648.0195
145,2019-05-14,25532.0508
146,2019-05-13,25324.9902
147,2019-05-10,25942.3691
148,2019-05-09,25828.3594
149,2019-05-08,25967.3301
150,2019-05-07,25965.0898
151,2019-05-06,26438.4805
152,2019-05-03,26504.9492
153,2019-05-02,26307.7891
154,2019-05-01,26430.1406
155,2019-04-30,26592.9102
156,2019-04-29,26554.3906
157,2019-04-26,26543.3301
158,2019-04-25,26462.0801
159,2019-04-24,26597.0508
160,2019-04-23,26656.3906
161,2019-04-22,26511.0508
162,2019-04-18,26559.5391
163,2019-04-17,26449.5391
164,2019-04-16,26452.6602
165,2019-04-15,26384.7695
166,2019-04-12,26412.3008
167,2019-04-11,26143.0508
168,2019-04-10,26157.1602
169,2019-04-09,26150.5801
170,2019-04-08,26341.0195
171,2019-04-05,26424.9902
172,2019-04-04,26384.6309
173,2019-04-03,26218.1309
174,2019-04-02,26179.1309
175,2019-04-01,26258.4199
176,2019-03-29,25928.6797
177,2019-03-28,25717.4609
178,2019-03-27,25625.5898
179,2019-03-26,25657.7305
180,2019-03-25,25516.8301
181,2019-03-22,25502.3203
182,2019-03-21,25962.5098
183,2019-03-20,25745.6699
184,2019-03-19,25887.3809
185,2019-03-18,25914.0996
186,2019-03-15,25848.8691
187,2019-03-14,25709.9395
188,2019-03-13,25702.8906
189,2019-03-12,25554.6602
190,2019-03-11,25650.8809
191,2019-03-08,25450.2402
192,2019-03-07,25473.2305
193,2019-03-06,25673.4609
194,2019-03-05,25806.6309
195,2019-03-04,25819.6504
196,2019-03-01,26026.3203
197,2019-02-28,25916.0000
198,2019-02-27,25985.1602
199,2019-02-26,26057.9805
200,2019-02-25,26091.9492
201,2019-02-22,26031.8105
202,2019-02-21,25850.6309
203,2019-02-20,25954.4395
204,2019-02-19,25891.3203
205,2019-02-15,25883.2500
206,2019-02-14,25439.3906
207,2019-02-13,25543.2695
208,2019-02-12,25425.7598
209,2019-02-11,25053.1094
210,2019-02-08,25106.3301
211,2019-02-07,25169.5293
212,2019-02-06,25390.3008
213,2019-02-05,25411.5195
214,2019-02-04,25239.3691
215,2019-02-01,25063.8906
216,2019-01-31,24999.6699
217,2019-01-30,25014.8594
218,2019-01-29,24579.9609
219,2019-01-28,24528.2207
220,2019-01-25,24737.1992
221,2019-01-24,24553.2402
222,2019-01-23,24575.6191
223,2019-01-22,24404.4805
224,2019-01-18,24706.3496
225,2019-01-17,24370.0996
226,2019-01-16,24207.1602
227,2019-01-15,24065.5898
228,2019-01-14,23909.8398
229,2019-01-11,23995.9492
230,2019-01-10,24001.9199
231,2019-01-09,23879.1191
232,2019-01-08,23787.4492
