,Date,Oil Price,Dow Jones
0,2010-01-04,81.52,10583.96
1,2010-01-05,81.74,10572.0195
2,2010-01-06,83.12,10573.6797
3,2010-01-07,82.6,10606.8604
4,2010-01-08,82.74,10618.1904
5,2010-01-11,82.54,10663.9902
6,2010-01-12,80.79,10627.2598
7,2010-01-13,79.66,10680.7695
8,2010-01-14,79.35,10710.5498
9,2010-01-15,77.96,10609.6504
10,2010-01-19,78.98,10725.4297
11,2010-01-20,77.42,10603.1504
12,2010-01-21,75.84,10389.8799
13,2010-01-22,74.25,10172.9805
14,2010-01-25,74.9,10196.8604
15,2010-01-26,74.67,10194.29
16,2010-01-27,73.64,10236.1602
17,2010-01-28,73.62,10120.46
18,2010-01-29,72.85,10067.3301
19,2010-02-01,74.41,10185.5303
20,2010-02-02,77.21,10296.8496
21,2010-02-03,76.96,10270.5498
22,2010-02-04,73.13,10002.1797
23,2010-02-05,71.15,10012.2305
24,2010-02-08,71.87,9908.3896
25,2010-02-09,73.71,10058.6396
26,2010-02-10,74.48,10038.3799
27,2010-02-11,75.23,10144.1904
28,2010-02-12,74.11,10099.1396
29,2010-02-16,76.98,10268.8096
30,2010-02-17,77.27,10309.2402
31,2010-02-18,78.97,10392.9004
32,2010-02-19,79.77,10402.3496
33,2010-02-22,80.04,10383.3799
34,2010-02-23,78.61,10282.4102
35,2010-02-24,79.75,10374.1602
36,2010-02-25,77.99,10321.0303
37,2010-02-26,79.72,10325.2598
38,2010-03-01,78.71,10403.79
39,2010-03-02,79.62,10405.9805
40,2010-03-03,80.91,10396.7598
41,2010-03-04,80.21,10444.1396
42,2010-03-05,81.5,10566.2002
43,2010-03-08,81.85,10552.5195
44,2010-03-09,81.5,10564.3799
45,2010-03-10,82.07,10567.3301
46,2010-03-11,82.1,10611.8398
47,2010-03-12,81.26,10624.6904
48,2010-03-15,79.79,10642.1504
49,2010-03-16,81.75,10685.9805
50,2010-03-17,82.93,10733.6699
51,2010-03-18,82.16,10779.1699
52,2010-03-19,80.58,10741.9805
53,2010-03-22,81.26,10785.8896
54,2010-03-23,81.68,10888.8301
55,2010-03-24,80.29,10836.1504
56,2010-03-25,80.25,10841.21
57,2010-03-26,79.75,10850.3604
58,2010-03-29,81.92,10895.8604
59,2010-03-30,82.14,10907.4199
60,2010-03-31,83.45,10856.6299
61,2010-04-01,84.53,10927.0703
62,2010-04-05,86.36,10973.5498
63,2010-04-06,86.54,10969.9902
64,2010-04-07,85.64,10897.5195
65,2010-04-08,85.17,10927.0703
66,2010-04-09,84.6,10997.3496
67,2010-04-12,84.07,11005.9697
68,2010-04-13,83.8,11019.4199
69,2010-04-14,85.62,11123.1104
70,2010-04-15,85.25,11144.5703
